query,expected_keywords,retrieved_ranks,relevant_ranks,top1_relevant,hit_at_k,mrr,relevant_count,top_result_page,top_result_score,top_result_preview,config_name,pdf_name,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars
Why is the Transformer good at modeling long-range dependencies?,"long-range dependencies, path length, constant","[1, 2, 3]",[],False,False,0.0,0,1,0.6055218577384949,"significant improvements in computational efficiency through factorization tricks [21] and conditional
computation [32], while also improving model performance in case of the latter. The fundamental
constraint of sequential computation, how",chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375
How does the model represent token order without recurrence?,"positional encoding, positional encodings, sine, cosine","[1, 2, 3]",[3],False,True,0.3333333333333333,1,1,0.40141332149505615,"3 Model Architecture
Most competitive neural sequence transduction models have an encoder-decoder structure [5, 2, 35].
Here, the encoder maps an input sequence of symbol representations (x1, ..., xn) to a sequence
of continuous representat",chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375
How is multi-head attention described in the paper?,"multi-head attention, heads, different representation subspaces","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,4,0.6483591794967651,"output values. These are concatenated and once again projected, resulting in the final values, as
depicted in Figure 2.
Multi-head attention allows the model to jointly attend to information from different representation
subspaces at differ",chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375
What does scaled dot-product attention compute?,"scaled dot-product attention, query, key, value","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,3,0.7207653522491455,"Scaled Dot-Product Attention
 Multi-Head Attention
Figure 2: (left) Scaled Dot-Product Attention. (right) Multi-Head Attention consists of several
attention layers running in parallel.
of the values, where the weight assigned to each value ",chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375
What are the main encoder and decoder stack sizes in the base model?,"encoder, decoder, layers, N=6","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,2,0.604772686958313,"Figure 1: The Transformer - model architecture.
The Transformer follows this overall architecture using stacked self-attention and point-wise, fully
connected layers for both the encoder and decoder, shown in the left and right halves of Fi",chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375
What replaces recurrence and convolution in the Transformer?,"self-attention, attention mechanism, recurrence","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",True,True,1.0,5,1,0.5519092082977295,"In this work we propose the Transformer, a model architecture eschewing recurrence and instead
relying entirely on an attention mechanism to draw global dependencies between input and output.
The Transformer allows for significantly more pa",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
Why is the Transformer good at modeling long-range dependencies?,"long-range dependencies, path length, constant","[1, 2, 3, 4, 5]",[],False,False,0.0,0,1,0.5829206705093384,"sequential nature precludes parallelization within training examples, which becomes critical at longer
sequence lengths, as memory constraints limit batching across examples. Recent work has achieved
significant improvements in computationa",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
How does the model represent token order without recurrence?,"positional encoding, positional encodings, sine, cosine","[1, 2, 3, 4, 5]","[1, 5]",True,True,1.0,2,5,0.4201948642730713,"tokens in the sequence. To this end, we add ""positional encodings"" to the input embeddings at the
bottoms of the encoder and decoder stacks. The positional encodings have the same dimension dmodel
as the embeddings, so that the two can be s",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
How is multi-head attention described in the paper?,"multi-head attention, heads, different representation subspaces","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",True,True,1.0,5,4,0.6483591794967651,"output values. These are concatenated and once again projected, resulting in the final values, as
depicted in Figure 2.
Multi-head attention allows the model to jointly attend to information from different representation
subspaces at differ",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
What does scaled dot-product attention compute?,"scaled dot-product attention, query, key, value","[1, 2, 3, 4, 5]","[1, 2, 3, 5]",True,True,1.0,4,3,0.7207653522491455,"Scaled Dot-Product Attention
 Multi-Head Attention
Figure 2: (left) Scaled Dot-Product Attention. (right) Multi-Head Attention consists of several
attention layers running in parallel.
of the values, where the weight assigned to each value ",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
What are the main encoder and decoder stack sizes in the base model?,"encoder, decoder, layers, N=6","[1, 2, 3, 4, 5]","[1, 2, 3, 4]",True,True,1.0,4,2,0.604772686958313,"Figure 1: The Transformer - model architecture.
The Transformer follows this overall architecture using stacked self-attention and point-wise, fully
connected layers for both the encoder and decoder, shown in the left and right halves of Fi",retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693
What replaces recurrence and convolution in the Transformer?,"self-attention, attention mechanism, recurrence","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,1,0.6079210042953491,"In this work we propose the Transformer, a model architecture eschewing recurrence and instead
relying entirely on an attention mechanism to draw global dependencies between input and output.
The Transformer allows for significantly more pa",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
Why is the Transformer good at modeling long-range dependencies?,"long-range dependencies, path length, constant","[1, 2, 3]",[],False,False,0.0,0,1,0.5934028625488281,"In this work we propose the Transformer, a model architecture eschewing recurrence and instead
relying entirely on an attention mechanism to draw global dependencies between input and output.
The Transformer allows for significantly more pa",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
How does the model represent token order without recurrence?,"positional encoding, positional encodings, sine, cosine","[1, 2, 3]","[1, 2]",True,True,1.0,2,5,0.5065597295761108,"tokens in the sequence. To this end, we add ""positional encodings"" to the input embeddings at the
bottoms of the encoder and decoder stacks. The positional encodings have the same dimension dmodel
as the embeddings, so that the two can be s",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
How is multi-head attention described in the paper?,"multi-head attention, heads, different representation subspaces","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,4,0.6878626346588135,"output values. These are concatenated and once again projected, resulting in the final values, as
depicted in Figure 2.
Multi-head attention allows the model to jointly attend to information from different representation
subspaces at differ",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
What does scaled dot-product attention compute?,"scaled dot-product attention, query, key, value","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,3,0.6983491778373718,"Scaled Dot-Product Attention
 Multi-Head Attention
Figure 2: (left) Scaled Dot-Product Attention. (right) Multi-Head Attention consists of several
attention layers running in parallel.
of the values, where the weight assigned to each value ",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
What are the main encoder and decoder stack sizes in the base model?,"encoder, decoder, layers, N=6","[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,2,0.5695306658744812,"Figure 1: The Transformer - model architecture.
The Transformer follows this overall architecture using stacked self-attention and point-wise, fully
connected layers for both the encoder and decoder, shown in the left and right halves of Fi",embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693
