user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,config_name,pipeline,chunk_size,retrieval_k,embedding_model,chunk_count
What is reflection or self-criticism used for in agent systems?,"['Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.\nReAct (Yao et al. 2023) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space. The former enables LLM to interact with the environment (e.g. use Wikipedia search API), while the latter prompting LLM to generate reasoning traces in natural language.\nThe ReAct prompt template incorporates explicit steps for LLM to think, roughly formatted as:\nThought: ...\nAction: ...\nObservation: ...\n... (Repeated many times)', 'Illustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)\n\nThe heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped. Inefficient planning refers to trajectories that take too long without success. Hallucination is defined as encountering a sequence of consecutive identical actions that lead to the same observation in the environment.\nSelf-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.\n\n\nExperiments on AlfWorld Env and HotpotQA. Hallucination is a more common failure than inefficient planning in AlfWorld. (Image source: Shinn & Labash, 2023)', 'Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).\n\nIn both experiments on knowledge-intensive tasks and decision-making tasks, ReAct works better than the Act-only baseline where Thought: … step is removed.\nReflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment to start a new trial depending on the self-reflection results.\n\n\nIllustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)']","In agent systems, reflection or self-criticism is utilized to enable autonomous agents to improve iteratively by refining their past actions and correcting previous mistakes. This process is crucial in real-world tasks where trial and error are common. 

For example, frameworks like ReAct and Reflexion incorporate self-reflection by allowing agents to analyze their decision-making processes. In ReAct, agents extend their action space by combining task-specific actions with language, enabling them to evaluate their thought processes alongside their actions. In Reflexion, agents use dynamic memory and self-reflection to enhance their reasoning skills, computing heuristics after each action to determine if their trajectory is inefficient or if they've encountered any errors, such as ""hallucinations"" (repetitive actions leading to the same observation).

Overall, self-reflection helps agents to adapt and optimize their behaviors in future tasks, making them more effective in navigating complex environments.",Reflection or self-criticism is used to improve iteratively by refining past action decisions and correcting previous mistakes.,1.0,0.8695403754131776,0.9999999999666667,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
What kinds of memory are described for agents?,"['Memory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'Categorization of human memory.\n\nWe can roughly consider the following mappings:\n\nSensory memory as learning embedding representations for raw inputs, including text, image or other modalities;\nShort-term memory as in-context learning. It is short and finite, as it is restricted by the finite context window length of Transformer.\nLong-term memory as the external vector store that the agent can attend to at query time, accessible via fast retrieval.', 'Memory stream: is a long-term memory module (external database) that records a comprehensive list of agents’ experience in natural language.\n\nEach element is an observation, an event directly provided by the agent.\n- Inter-agent communication can trigger new natural language statements.\n\n\nRetrieval model: surfaces the context to inform the agent’s behavior, according to relevance, recency and importance.\n\nRecency: recent events have higher scores\nImportance: distinguish mundane from core memories. Ask LM directly.\nRelevance: based on how related it is to the current situation / query.\n\n\nReflection mechanism: synthesizes memories into higher level inferences over time and guides the agent’s future behavior. They are higher-level summaries of past events (<- note that this is a bit different from self-reflection above)']","The kinds of memory described for agents include:

1. **Short-term Memory**: This is associated with in-context learning, which allows the model to learn and utilize information temporarily. It is finite and constrained by the context window length of the model.

2. **Long-term Memory**: This capability enables agents to retain and recall extensive information over long periods. It often employs an external vector store for fast retrieval of information.

3. **Sensory Memory**: This involves learning embedding representations for raw inputs across various modalities like text and images.

4. **Memory Stream**: This is a long-term memory module that records an agent’s experiences in natural language, capturing observations and events it encounters.

5. **Retrieval Model**: This helps the agent surface context based on relevance, recency, and importance, influencing its behavior.

6. **Reflection Mechanism**: This synthesizes memories into higher-level inferences over time, guiding future behavior based on past events.

These different types of memory interact to enhance the functionality and learning capacity of agents.","Sensory memory, short-term memory (in-context learning), and long-term memory (external vector store) are described.",1.0,0.9623110899605342,0.49999999995,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
How do LLM agents use tools?,"['Case Studies#\nScientific Discovery Agent#\nChemCrow (Bran et al. 2023) is a domain-specific example in which LLM is augmented with 13 expert-designed tools to accomplish tasks across organic synthesis, drug discovery, and materials design. The workflow, implemented in LangChain, reflects what was previously described in the ReAct and MRKLs and combines CoT reasoning with tools relevant to the tasks:\n\nThe LLM is provided with a list of tool names, descriptions of their utility, and details about the expected input/output.\nIt is then instructed to answer a user-given prompt using the tools provided when necessary. The instruction suggests the model to follow the ReAct format - Thought, Action, Action Input, Observation.', 'Pseudo code of how LLM makes an API call in API-Bank. (Image source: Li et al. 2023)\n\nIn the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is. Decisions include:\n\nWhether an API call is needed.\nIdentify the right API to call: if not good enough, LLMs need to iteratively modify the API inputs (e.g. deciding search keywords for Search Engine API).\nResponse based on the API results: the model can choose to refine and call again if results are not satisfied.\n\nThis benchmark evaluates the agent’s tool use capabilities at three levels:', 'LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory']","LLM agents use tools through a structured workflow that involves several steps:

1. **Tool Identification**: The LLM is equipped with a list of tool names, their descriptions, and information about their utility, along with details regarding the expected input and output.

2. **Execution Instruction**: When prompted by a user, the LLM is instructed to use these tools as necessary. The instruction guides the model to follow a specific format known as ReAct, which involves:
   - **Thought**: The agent reflects on the problem at hand.
   - **Action**: The agent determines if a tool or API call is needed and identifies the right tool to use.
   - **Action Input**: The agent provides the necessary input to the tool.
   - **Observation**: The agent observes the output from the tool and can decide if further refinement or additional tool usage is needed.

3. **Iteration**: If the results from the tool are unsatisfactory, the LLM may iteratively modify its inputs or refine its approach, enhancing the accuracy and relevance of its responses.

These mechanisms enable LLM agents to effectively break down complex tasks, refine their actions through reflection, and leverage various tools for enhanced problem-solving.","LLM agents call external APIs for extra information that is missing from the model weights, such as current information, code execution capability, or access to proprietary information databases.",,0.965787313552379,0.49999999995,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
How does Reflexion improve agent performance?,"['Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).\n\nIn both experiments on knowledge-intensive tasks and decision-making tasks, ReAct works better than the Act-only baseline where Thought: … step is removed.\nReflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment to start a new trial depending on the self-reflection results.\n\n\nIllustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)', 'Illustration of the Reflexion framework. (Image source: Shinn & Labash, 2023)\n\nThe heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped. Inefficient planning refers to trajectories that take too long without success. Hallucination is defined as encountering a sequence of consecutive identical actions that lead to the same observation in the environment.\nSelf-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.\n\n\nExperiments on AlfWorld Env and HotpotQA. Hallucination is a more common failure than inefficient planning in AlfWorld. (Image source: Shinn & Labash, 2023)', 'Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.\nReAct (Yao et al. 2023) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space. The former enables LLM to interact with the environment (e.g. use Wikipedia search API), while the latter prompting LLM to generate reasoning traces in natural language.\nThe ReAct prompt template incorporates explicit steps for LLM to think, roughly formatted as:\nThought: ...\nAction: ...\nObservation: ...\n... (Repeated many times)']","Reflexion improves agent performance by equipping agents with dynamic memory and self-reflection capabilities. This framework enhances reasoning skills through several key mechanisms:

1. **Dynamic Memory and Self-Reflection**: Reflexion allows agents to iteratively improve by refining past decisions and correcting mistakes. Self-reflection is particularly important in real-world tasks, where trial and error play a significant role.

2. **Heuristic Computation**: After each action, the agent computes a heuristic to evaluate its efficiency. This helps the agent identify when a trajectory is inefficient or leads to hallucinations (repeated actions yielding no new outcomes), allowing for timely intervention.

3. **Augmented Action Space**: The action space in Reflexion is similar to the ReAct framework but includes the ability to generate reasoning steps in natural language. This integration helps the agent interact more effectively with its environment while also formulating complex reasoning processes.

4. **Reflection Integration**: By incorporating examples of both failed and ideal trajectories into its working memory, the agent learns from past errors and adjusts its strategies for future actions.

These features collectively contribute to enhanced decision-making and reasoning abilities in agents, making them more effective in handling complex tasks.",Reflexion is a framework that equips agents with dynamic memory and self-reflection capabilities to improve reasoning skills. A heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped.,1.0,1.0,0.9999999999666667,1.0,baseline_agentic,agentic,1000,3,text-embedding-3-small,63
What is task decomposition in LLM-powered agents?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.', 'Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:', 'Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#']","Task decomposition in LLM-powered agents refers to breaking down a complicated task into simpler subgoals or steps. This can be achieved through (1) simple prompting, such as asking for steps or subgoals related to a specific task, (2) using task-specific instructions, like requesting a story outline for writing, or (3) incorporating human inputs to guide the decomposition process.","Task decomposition is the process of breaking down a complicated task into smaller, manageable subgoals or steps. This can be done by using LLM with simple prompting, task-specific instructions, or human inputs.",1.0,0.977880877473106,0.9999999999,1.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
What is one common technique mentioned for task decomposition?,"['Task decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.', 'Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#', 'Task Decomposition#\nChain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to decompose hard tasks into smaller and simpler steps. CoT transforms big tasks into multiple manageable tasks and shed lights into an interpretation of the model’s thinking process.']","One common technique mentioned for task decomposition is the Chain of Thought (CoT) prompting, where the model is instructed to “think step by step” to break down complex tasks into smaller, more manageable steps.",Chain of thought (CoT) and Tree of Thoughts (ToT) are common techniques mentioned for task decomposition.,1.0,0.9546263478409649,0.0,0.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
What are the main components of an LLM-powered autonomous agent system?,"['Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:', 'Tool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng']","The main components of an LLM-powered autonomous agent system are:

1. **LLM as the Brain**: The LLM functions as the core controller or brain of the agent.
2. **Tool Use**: The agent learns to call external APIs to access additional information, execute code, and utilize proprietary information sources.","The main components are planning, memory, and tool use.",0.8333333333333334,1.0000000000000002,0.9999999999,0.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
What is reflection or self-criticism used for in agent systems?,"['Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.', 'Self-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.', 'Reflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment']",Reflection or self-criticism in agent systems is used for allowing autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It enables the agent to learn from failures and guide future actions through a process where past experiences are used as context for making better decisions. This is particularly important in real-world tasks where trial and error are common.,Reflection or self-criticism is used to improve iteratively by refining past action decisions and correcting previous mistakes.,1.0,0.9549094281500493,0.9999999999666667,1.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
What kinds of memory are described for agents?,"['Memory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use', 'Categorization of human memory.\n\nWe can roughly consider the following mappings:\n\nSensory memory as learning embedding representations for raw inputs, including text, image or other modalities;\nShort-term memory as in-context learning. It is short and finite, as it is restricted by the finite context window length of Transformer.\nLong-term memory as the external vector store that the agent can attend to at query time, accessible via fast retrieval.', 'The design of generative agents combines LLM with memory, planning and reflection mechanisms to enable agents to behave conditioned on past experience, as well as to interact with other agents.']","The kinds of memory described for agents include:

1. **Short-term memory**: Utilized for in-context learning, it's finite and limited by the context window length of Transformers.
2. **Long-term memory**: This allows agents to retain and recall information over extended periods, often using an external vector store for fast retrieval. 

Additionally, sensory memory is mapped to learning embedding representations for raw inputs.","Sensory memory, short-term memory (in-context learning), and long-term memory (external vector store) are described.",1.0,0.9831065368433987,0.99999999995,1.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
How do LLM agents use tools?,"['Tool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'The LLM is provided with a list of tool names, descriptions of their utility, and details about the expected input/output.\nIt is then instructed to answer a user-given prompt using the tools provided when necessary. The instruction suggests the model to follow the ReAct format - Thought, Action, Action Input, Observation.', 'Boiko et al. (2023) also looked into LLM-empowered agents for scientific discovery, to handle autonomous design, planning, and performance of complex scientific experiments. This agent can use tools to browse the Internet, read documentation, execute code, call robotics experimentation APIs and leverage other LLMs.\nFor example, when requested to ""develop a novel anticancer drug"", the model came up with the following reasoning steps:']","LLM agents use tools by learning to call external APIs to gather information that is not included in the model weights. This includes accessing current information, executing code, and retrieving proprietary data. The agent operates by being provided with a list of tool names along with their descriptions and expected input/output details. It is then instructed to respond to user prompts using the tools as needed, following the ReAct format: Thought, Action, Action Input, Observation. These agents can also browse the Internet, read documentation, execute code, and interact with various APIs for tasks such as scientific discovery and complex experimental design.","LLM agents call external APIs for extra information that is missing from the model weights, such as current information, code execution capability, or access to proprietary information databases.",1.0,0.9163146431894047,0.8333333332916666,1.0,chunk_size_500,two_step,500,3,text-embedding-3-small,146
How does Reflexion improve agent performance?,"['Reflexion (Shinn & Labash 2023) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills. Reflexion has a standard RL setup, in which the reward model provides a simple binary reward and the action space follows the setup in ReAct where the task-specific action space is augmented with language to enable complex reasoning steps. After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may decide to reset the environment', 'Self-Reflection#\nSelf-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error are inevitable.', 'Self-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes in the plan). Then reflections are added into the agent’s working memory, up to three, to be used as context for querying LLM.']","Reflexion improves agent performance by equipping them with dynamic memory and self-reflection capabilities, which enhance their reasoning skills. The framework allows agents to refine their decision-making through self-reflection on past actions, correcting mistakes and learning from failures. This iterative improvement is crucial for navigating real-world tasks where trial and error is common. Additionally, Reflexion incorporates heuristic evaluations after each action, and integrates reflections from two-shot examples into the agent's working memory, enabling better context for future decisions.",Reflexion is a framework that equips agents with dynamic memory and self-reflection capabilities to improve reasoning skills. A heuristic function determines when the trajectory is inefficient or contains hallucination and should be stopped.,1.0,1.0,0.9999999999666667,0.5,chunk_size_500,two_step,500,3,text-embedding-3-small,146
What is task decomposition in LLM-powered agents?,"['LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use', 'Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#\nChain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to decompose hard tasks into smaller and simpler steps. CoT transforms big tasks into multiple manageable tasks and shed lights into an interpretation of the model’s thinking process.\nTree of Thoughts (Yao et al. 2023) extends CoT by exploring multiple reasoning possibilities at each step. It first decomposes the problem into multiple thought steps and generates multiple thoughts per step, creating a tree structure. The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.\nTask decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.', 'Tool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.']","Task decomposition in LLM-powered agents involves breaking down large tasks into smaller, manageable subgoals. This process enables the agent to handle complex tasks more efficiently. It can be achieved through various methods such as prompting the model, using task-specific instructions, or incorporating human inputs. Techniques like Chain of Thought (CoT) and Tree of Thoughts further facilitate this by helping the model ""think step by step"" and explore multiple reasoning possibilities.","Task decomposition is the process of breaking down a complicated task into smaller, manageable subgoals or steps. This can be done by using LLM with simple prompting, task-specific instructions, or human inputs.",1.0,0.9999995823958101,0.99999999995,1.0,chunk_size_1500,two_step,1500,3,text-embedding-3-small,42
What is one common technique mentioned for task decomposition?,"['Component One: Planning#\nA complicated task usually involves many steps. An agent needs to know what they are and plan ahead.\nTask Decomposition#\nChain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to decompose hard tasks into smaller and simpler steps. CoT transforms big tasks into multiple manageable tasks and shed lights into an interpretation of the model’s thinking process.\nTree of Thoughts (Yao et al. 2023) extends CoT by exploring multiple reasoning possibilities at each step. It first decomposes the problem into multiple thought steps and generates multiple thoughts per step, creating a tree structure. The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.\nTask decomposition can be done (1) by LLM with simple prompting like ""Steps for XYZ.\\n1."", ""What are the subgoals for achieving XYZ?"", (2) by using task-specific instructions; e.g. ""Write a story outline."" for writing a novel, or (3) with human inputs.', 'Illustration of how HuggingGPT works. (Image source: Shen et al. 2023)\n\nThe system comprises of 4 stages:\n(1) Task planning: LLM works as the brain and parses the user requests into multiple tasks. There are four attributes associated with each task: task type, ID, dependencies, and arguments. They use few-shot examples to guide LLM to do task parsing and planning.\nInstruction:\n\nThe AI assistant can parse user input to several tasks: [{""task"": task, ""id"", task_id, ""dep"": dependency_task_ids, ""args"": {""text"": text, ""image"": URL, ""audio"": URL, ""video"": URL}}]. The ""dep"" field denotes the id of the previous task which generates a new resource that the current task relies on. A special tag ""-task_id"" refers to the generated text image, audio and video in the dependency task with id as task_id. The task MUST be selected from the following options: {{ Available Task List }}. There is a logical relationship between tasks, please note their order. If the user input can\'t be parsed, you need to reply empty JSON. Here are several cases for your reference: {{ Demonstrations }}. The chat history is recorded as {{ Chat History }}. From this chat history, you can find the path of the user-mentioned resources for your task planning.', 'Resources:\n1. Internet access for searches and information gathering.\n2. Long Term memory management.\n3. GPT-3.5 powered Agents for delegation of simple tasks.\n4. File output.\n\nPerformance Evaluation:\n1. Continuously review and analyze your actions to ensure you are performing to the best of your abilities.\n2. Constructively self-criticize your big-picture behavior constantly.\n3. Reflect on past decisions and strategies to refine your approach.\n4. Every command has a cost, so be smart and efficient. Aim to complete tasks in the least number of steps.']","One common technique mentioned for task decomposition is the Chain of Thought (CoT), where the model is instructed to “think step by step” to break down complex tasks into smaller, more manageable steps.",Chain of thought (CoT) and Tree of Thoughts (ToT) are common techniques mentioned for task decomposition.,1.0,0.9546542296664607,0.9999999999,1.0,chunk_size_1500,two_step,1500,3,text-embedding-3-small,42
What are the main components of an LLM-powered autonomous agent system?,"['LLM Powered Autonomous Agents\n    \nDate: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng\n\n\nBuilding agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.\nAgent System Overview#\nIn a LLM-powered autonomous agent system, LLM functions as the agent’s brain, complemented by several key components:\n\nPlanning\n\nSubgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.\nReflection and refinement: The agent can do self-criticism and self-reflection over past actions, learn from mistakes and refine them for future steps, thereby improving the quality of final results.\n\n\nMemory\n\nShort-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.\nLong-term memory: This provides the agent with the capability to retain and recall (infinite) information over extended periods, often by leveraging an external vector store and fast retrieval.\n\n\nTool use', 'Tool use\n\nThe agent learns to call external APIs for extra information that is missing from the model weights (often hard to change after pre-training), including current information, code execution capability, access to proprietary information sources and more.\n\n\n\n\n\nOverview of a LLM-powered autonomous agent system.', 'Finite context length: The restricted context capacity limits the inclusion of historical information, detailed instructions, API call context, and responses. The design of the system has to work with this limited communication bandwidth, while mechanisms like self-reflection to learn from past mistakes would benefit a lot from long or infinite context windows. Although vector stores and retrieval can provide access to a larger knowledge pool, their representation power is not as powerful as full attention.\n\n\nChallenges in long-term planning and task decomposition: Planning over a lengthy history and effectively exploring the solution space remain challenging. LLMs struggle to adjust plans when faced with unexpected errors, making them less robust compared to humans who learn from trial and error.\n\n\nReliability of natural language interface: Current agent system relies on natural language as an interface between LLMs and external components such as memory and tools. However, the reliability of model outputs is questionable, as LLMs may make formatting errors and occasionally exhibit rebellious behavior (e.g. refuse to follow an instruction). Consequently, much of the agent demo code focuses on parsing model output.\n\n\nCitation#\nCited as:\n\nWeng, Lilian. (Jun 2023). “LLM-powered Autonomous Agents”. Lil’Log. https://lilianweng.github.io/posts/2023-06-23-agent/.']","The main components of an LLM-powered autonomous agent system are:

1. **Planning**
   - Subgoal and decomposition: Breaking down large tasks into smaller, manageable subgoals.
   - Reflection and refinement: Self-criticism and self-reflection to learn from mistakes and improve future actions.

2. **Memory**
   - Short-term memory: Utilizes in-context learning for immediate tasks.
   - Long-term memory: Retains and recalls information over extended periods using external vector stores.

3. **Tool use**
   - Ability to call external APIs for additional information and functionalities not included in the model weights.","The main components are planning, memory, and tool use.",1.0,1.0000000000000002,0.9999999999,1.0,chunk_size_1500,two_step,1500,3,text-embedding-3-small,42
