strategy,difficulty,query,metric,score,total_relevant_docs,retrieved_ids,ground_truth_ids,incorrect_retrieved_top3,incorrect_retrieved_all,missed_ground_truth,notes
sentence_chunk_cosine,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"mlk, frederick_douglass, rosa_parks, malcolm_x, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Mahatma Gandhi (gandhi) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
sentence_chunk_cosine,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"plato, aristotle, kant, hypatia, montaigne","aristotle, plato",Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),,Geographic and temporal scope with explicit profession
sentence_chunk_cosine,easy,Find people who made contributions to mathematics,precision@5,0.8,11,"srinivasa_ramanujan, newton, hawking, ibn_sina, hypatia","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",Stephen Hawking (hawking),Stephen Hawking (hawking),Alan Turing (alan_turing) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
sentence_chunk_cosine,easy,Find artists known for emotional and expressive work,precision@5,0.8,13,"rabindranath_tagore, tchaikovsky, van_gogh, frida_kahlo, michelangelo","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",Rabindranath Tagore (rabindranath_tagore),Rabindranath Tagore (rabindranath_tagore),Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Claude Monet (monet) | Pablo Picasso (picasso) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
sentence_chunk_cosine,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, benjamin_franklin, napoleon, voltaire, harriet_tubman","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Napoleon Bonaparte (napoleon) | Voltaire (voltaire) | Harriet Tubman (harriet_tubman),Napoleon Bonaparte (napoleon) | Voltaire (voltaire) | Harriet Tubman (harriet_tubman),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
sentence_chunk_cosine,hard,Find female scientists and mathematicians,recall@5,0.5,4,"marie_curie, hypatia, srinivasa_ramanujan, mary_wollstonecraft, hildegard","marie_curie, hypatia, florence_nightingale, rachel_carson",Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft) | Hildegard of Bingen (hildegard),Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft) | Hildegard of Bingen (hildegard),Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
sentence_chunk_cosine,hard,Find people who were NOT born in Europe,precision@5,0.2,30,"einstein, kant, copernicus, cheikh_anta_diop, mary_wollstonecraft","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus),Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus) | Mary Wollstonecraft (mary_wollstonecraft),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Mahatma Gandhi (gandhi) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Ibn Battuta (ibn_battuta) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Genghis Khan (genghis_khan) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
sentence_chunk_cosine,hard,Find people whose first name starts with the letter M,precision@5,0.4,9,"mozart, malcolm_x, mary_wollstonecraft, mother_teresa, harriet_tubman","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Michelangelo (michelangelo) | Marie Curie (marie_curie) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
sentence_chunk_cosine,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.0,13,"einstein, picasso, frida_kahlo, cheikh_anta_diop, simone_de_beauvoir","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Albert Einstein (einstein) | Pablo Picasso (picasso) | Frida Kahlo (frida_kahlo),Albert Einstein (einstein) | Pablo Picasso (picasso) | Frida Kahlo (frida_kahlo) | Cheikh Anta Diop (cheikh_anta_diop) | Simone de Beauvoir (simone_de_beauvoir),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Simone Weil (simone_weil) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
sentence_chunk_l2,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, benjamin_franklin, einstein, hawking, darwin","newton, einstein",Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Charles Darwin (darwin),Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Charles Darwin (darwin),,Semantic query about scientific contributions
sentence_chunk_l2,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"mlk, frederick_douglass, rosa_parks, malcolm_x, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Mahatma Gandhi (gandhi) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
sentence_chunk_l2,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"plato, aristotle, kant, hypatia, montaigne","aristotle, plato",Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),,Geographic and temporal scope with explicit profession
sentence_chunk_l2,easy,Find people who made contributions to mathematics,precision@5,0.8,11,"srinivasa_ramanujan, newton, hawking, ibn_sina, hypatia","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",Stephen Hawking (hawking),Stephen Hawking (hawking),Alan Turing (alan_turing) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
sentence_chunk_l2,easy,Find artists known for emotional and expressive work,precision@5,0.8,13,"rabindranath_tagore, tchaikovsky, van_gogh, frida_kahlo, michelangelo","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",Rabindranath Tagore (rabindranath_tagore),Rabindranath Tagore (rabindranath_tagore),Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Claude Monet (monet) | Pablo Picasso (picasso) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
sentence_chunk_l2,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, benjamin_franklin, napoleon, voltaire, harriet_tubman","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Napoleon Bonaparte (napoleon) | Voltaire (voltaire) | Harriet Tubman (harriet_tubman),Napoleon Bonaparte (napoleon) | Voltaire (voltaire) | Harriet Tubman (harriet_tubman),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
sentence_chunk_l2,hard,Find female scientists and mathematicians,recall@5,0.5,4,"marie_curie, hypatia, srinivasa_ramanujan, mary_wollstonecraft, hildegard","marie_curie, hypatia, florence_nightingale, rachel_carson",Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft) | Hildegard of Bingen (hildegard),Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft) | Hildegard of Bingen (hildegard),Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
sentence_chunk_l2,hard,Find people who were NOT born in Europe,precision@5,0.2,30,"einstein, kant, copernicus, cheikh_anta_diop, mary_wollstonecraft","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus),Albert Einstein (einstein) | Immanuel Kant (kant) | Nicolaus Copernicus (copernicus) | Mary Wollstonecraft (mary_wollstonecraft),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Mahatma Gandhi (gandhi) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Ibn Battuta (ibn_battuta) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Genghis Khan (genghis_khan) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
sentence_chunk_l2,hard,Find people whose first name starts with the letter M,precision@5,0.4,9,"mozart, malcolm_x, mary_wollstonecraft, mother_teresa, harriet_tubman","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Michelangelo (michelangelo) | Marie Curie (marie_curie) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
sentence_chunk_l2,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.0,13,"einstein, picasso, frida_kahlo, cheikh_anta_diop, simone_de_beauvoir","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Albert Einstein (einstein) | Pablo Picasso (picasso) | Frida Kahlo (frida_kahlo),Albert Einstein (einstein) | Pablo Picasso (picasso) | Frida Kahlo (frida_kahlo) | Cheikh Anta Diop (cheikh_anta_diop) | Simone de Beauvoir (simone_de_beauvoir),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Simone Weil (simone_weil) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
query_rewrite_sentence_cosine,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, einstein, benjamin_franklin, hawking, aristotle","newton, einstein",Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Aristotle (aristotle),Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Aristotle (aristotle),,Semantic query about scientific contributions
query_rewrite_sentence_cosine,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"mlk, frederick_douglass, rosa_parks, malcolm_x, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Mahatma Gandhi (gandhi) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
query_rewrite_sentence_cosine,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"plato, aristotle, kant, hypatia, montaigne","aristotle, plato",Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Michel de Montaigne (montaigne),,Geographic and temporal scope with explicit profession
query_rewrite_sentence_cosine,easy,Find people who made contributions to mathematics,precision@5,1.0,11,"srinivasa_ramanujan, newton, alan_turing, hypatia, aristotle","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",,,Ibn Sina (Avicenna) (ibn_sina) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
query_rewrite_sentence_cosine,easy,Find artists known for emotional and expressive work,precision@5,0.8,13,"rabindranath_tagore, tchaikovsky, van_gogh, frida_kahlo, michelangelo","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",Rabindranath Tagore (rabindranath_tagore),Rabindranath Tagore (rabindranath_tagore),Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Claude Monet (monet) | Pablo Picasso (picasso) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
query_rewrite_sentence_cosine,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.75,4,"gandhi, harriet_tubman, mandela, voltaire, benjamin_franklin","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Harriet Tubman (harriet_tubman) | Voltaire (voltaire),Harriet Tubman (harriet_tubman) | Voltaire (voltaire),Queen Liliuokalani (queen_liliuokalani),Anti-colonial independence leaders
query_rewrite_sentence_cosine,hard,Find female scientists and mathematicians,recall@5,0.5,4,"marie_curie, hypatia, hildegard, srinivasa_ramanujan, mary_wollstonecraft","marie_curie, hypatia, florence_nightingale, rachel_carson",Hildegard of Bingen (hildegard) | Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft),Hildegard of Bingen (hildegard) | Srinivasa Ramanujan (srinivasa_ramanujan) | Mary Wollstonecraft (mary_wollstonecraft),Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
query_rewrite_sentence_cosine,hard,Find people who were NOT born in Europe,precision@5,0.6,30,"einstein, cheikh_anta_diop, ibn_battuta, darwin, cleopatra","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Albert Einstein (einstein) | Charles Darwin (darwin),Albert Einstein (einstein) | Charles Darwin (darwin),Confucius (confucius) | Sun Tzu (sun_tzu) | Mahatma Gandhi (gandhi) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Genghis Khan (genghis_khan) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
