retrieved_ranks,relevant_ranks,top1_relevant,hit_at_k,mrr,relevant_count,top_result_preview,top_result_source,top_result_keyword_matches,query,retrieval_keywords,answer_keywords,config_name,pipeline,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,answer_hit,answer_keyword_coverage,answer_preview
"[1, 2, 3]",[3],False,True,0.3333333333333333,1,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",1,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is called **Chain of Hindsight (CoH)**. This framework encourages a model to improve its outputs by presenting it with a sequence of past outp
"[1, 2, 3]",[2],False,True,0.5,1,"Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).

In both experiments on knowledge-intensive tasks and decision-","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 4312}",1,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,1.0,"The tool-use pattern that interleaves reasoning traces with actions is known as ReAct. This framework allows agents to perform reasoning (the thoughts) alongside actions, enhancing their performance on tasks compared to an Act-only baseline"
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"This benchmark evaluates the agent’s tool use capabilities at three levels:

Level-1 evaluates the ability to call the API. Given an API’s description, the model needs to determine whether to call a given API, call it correctly, and respond","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 21547}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,True,0.6666666666666666,"The proposed benchmark for evaluating tool use with a large collection of APIs is called **API-Bank** (Li et al. 2023). It includes 53 commonly used API tools, a complete tool-augmented LLM workflow, and 264 annotated dialogues involving 56"
"[1, 2, 3]",[],False,False,0.0,0,Both TALM (Tool Augmented Language Models; Parisi et al. 2022) and Toolformer (Schick et al. 2023) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 16535}",1,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,"The models that are fine-tuned on API documentation to improve tool-use behavior are TALM (Tool Augmented Language Models) and Toolformer. These models learn to use external tool APIs, enhancing the quality of their outputs based on externa"
"[1, 2, 3]",[1],True,True,1.0,1,"Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancing model performance on complex tasks. The model is instructed to “think step by step” to utilize more test-time computation to","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1764}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,True,1.0,The task decomposition technique that asks the model to think step by step before answering is called Chain of Thought (CoT).
"[1, 2, 3]",[1],True,True,1.0,1,"Tree of Thoughts (Yao et al. 2023) extends CoT by exploring multiple reasoning possibilities at each step. It first decomposes the problem into multiple thought steps and generates multiple thoughts per step, creating a tree structure. The ","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 2186}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,False,0.3333333333333333,"The planning method that explores multiple reasoning paths at each step instead of following a single chain is the ""Tree of Thoughts"" (Yao et al. 2023)."
"[1, 2, 3]","[1, 2, 3]",True,True,1.0,3,"Memory

Short-term memory: I would consider all the in-context learning (See Prompt Engineering) as utilizing short-term memory of the model to learn.
Long-term memory: This provides the agent with the capability to retain and recall (infin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 971}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,True,1.0,The type of memory that stores information in an external vector store for later retrieval is long-term memory.
"[1, 2, 3]",[],False,False,0.0,0,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",1,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,False,0.3333333333333333,The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is the Chain of Hindsight (CoH).
"[1, 2, 3]",[1],True,True,1.0,1,ReAct (Yao et al. 2023) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space. The former enables LLM to interact with the environment (e.g. use,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3803}",3,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,True,1.0,"The tool-use pattern that interleaves reasoning traces with actions is described by ReAct, which integrates reasoning and acting within LLM by using a prompt template that incorporates both thought and action elements."
"[1, 2, 3]",[1],True,True,1.0,1,"API-Bank (Li et al. 2023) is a benchmark for evaluating the performance of tool-augmented LLMs. It contains 53 commonly used API tools, a complete tool-augmented LLM workflow, and 264 annotated dialogues that involve 568 API calls. The sele","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 20401}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,True,0.6666666666666666,"The proposed benchmark to evaluate tool use with a large collection of APIs is called API-Bank. It evaluates the performance of tool-augmented large language models (LLMs) and includes 53 commonly used API tools, 264 annotated dialogues, an"
"[1, 2, 3]",[],False,False,0.0,0,Both TALM (Tool Augmented Language Models; Parisi et al. 2022) and Toolformer (Schick et al. 2023) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 16535}",0,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,False,0.3333333333333333,The model that is fine-tuned on API documentation to improve tool-use behavior is Toolformer.
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,True,1.0,"The task decomposition technique that asks the model to think step by step before answering is called ""Chain of Thought"" (CoT)."
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,False,0.3333333333333333,"The planning method that explores multiple reasoning paths at each step instead of following a single chain is the ""Tree of Thoughts."" This method extends the Chain of Thought (CoT) by decomposing the problem into multiple thought steps and"
"[1, 2, 3]",[1],True,True,1.0,1,"Explicit / declarative memory: This is memory of facts and events, and refers to those memories that can be consciously recalled, including episodic memory (events and experiences) and semantic memory (facts and concepts).
Implicit / proced","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11181}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,True,1.0,The type of memory that stores information in an external vector store for later retrieval is long-term memory (LTM).
"[1, 2, 3]","[2, 3]",False,True,0.5,2,"Chain of Hindsight (CoH; Liu et al. 2023) encourages the model to improve on its own outputs by explicitly presenting it with a sequence of past outputs, each annotated with feedback. Human feedback data is a collection of $D_h = \{(x, y_i ","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 6069}",0,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,False,0.3333333333333333,The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is the Chain of Hindsight (CoH).
"[1, 2, 3]",[2],False,True,0.5,1,"Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).

In both experiments on knowledge-intensive tasks and decision-","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 4312}",1,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,True,1.0,The tool-use pattern that interleaves reasoning traces with actions is called ReAct.
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"In the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is. Decisions include:

Whether an API call is needed.
Identify the right API to call: if not good enough, LLMs ne","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 21100}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,True,0.6666666666666666,"The proposed benchmark to evaluate tool use with a large collection of APIs is called API-Bank. It includes three levels of evaluation: 

- Level-1 evaluates the ability to call the API accurately.
- Level-2 examines the ability to retrieve"
"[1, 2, 3]",[],False,False,0.0,0,"In the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is. Decisions include:

Whether an API call is needed.
Identify the right API to call: if not good enough, LLMs ne","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 21100}",1,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,False,0.0,I do not know.
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,True,1.0,"The task decomposition technique that asks the model to think step by step before answering is called ""Chain of Thought"" (CoT)."
"[1, 2, 3]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,False,0.3333333333333333,"The planning method that explores multiple reasoning paths at each step instead of following a single chain is the ""Tree of Thoughts."""
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"We can roughly consider the following mappings:

Sensory memory as learning embedding representations for raw inputs, including text, image or other modalities;
Short-term memory as in-context learning. It is short and finite, as it is rest","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11618}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,True,1.0,The type of memory that stores information in an external vector store for later retrieval is called long-term memory.
"[1, 2, 3]",[3],False,True,0.3333333333333333,1,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",1,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,False,0.3333333333333333,"The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is the ""Chain of Hindsight"" (CoH). It explicitly presents the model with a sequence of past outputs, annotated with feedback, allowing the mod"
"[1, 2, 3]",[2],False,True,0.5,1,"Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).

In both experiments on knowledge-intensive tasks and decision-","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 4312}",1,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,True,1.0,"The tool-use pattern that interleaves reasoning traces with actions is called ReAct. This framework integrates reasoning and acting by extending the action space to combine task-specific discrete actions and language, enabling the generatio"
"[1, 2, 3]","[1, 2]",True,True,1.0,2,"API-Bank (Li et al. 2023) is a benchmark for evaluating the performance of tool-augmented LLMs. It contains 53 commonly used API tools, a complete tool-augmented LLM workflow, and 264 annotated dialogues that involve 568 API calls. The sele","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 20401}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,True,0.6666666666666666,"The proposed benchmark to evaluate tool use with a large collection of APIs is API-Bank. It includes 53 commonly used API tools, a complete tool-augmented LLM workflow, and 264 annotated dialogues involving 568 API calls."
"[1, 2, 3]",[],False,False,0.0,0,Both TALM (Tool Augmented Language Models; Parisi et al. 2022) and Toolformer (Schick et al. 2023) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 16535}",1,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,False,0.3333333333333333,The models that are fine-tuned on API documentation to improve tool-use behavior are TALM (Tool Augmented Language Models) and Toolformer.
"[1, 2, 3, 4, 5]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which task decomposition technique asks the model to think step by step before answering?,"chain of thought, step by step, task decomposition","chain of thought, step by step, task decomposition",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,True,1.0,"The task decomposition technique that asks the model to think step by step before answering is called ""Chain of thought"" (CoT)."
"[1, 2, 3, 4, 5]",[1],True,True,1.0,1,"Component One: Planning#
A complicated task usually involves many steps. An agent needs to know what they are and plan ahead.
Task Decomposition#
Chain of thought (CoT; Wei et al. 2022) has become a standard prompting technique for enhancin","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 1638}",3,Which planning method explores multiple reasoning paths at each step instead of following a single chain?,"tree of thoughts, multiple reasoning possibilities, search","tree of thoughts, multiple reasoning possibilities, search",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,"The planning method that explores multiple reasoning paths at each step instead of following a single chain is called ""Tree of Thoughts"" (Yao et al. 2023)."
"[1, 2, 3, 4, 5]","[1, 2, 5]",True,True,1.0,3,"Categorization of human memory.

We can roughly consider the following mappings:

Sensory memory as learning embedding representations for raw inputs, including text, image or other modalities;
Short-term memory as in-context learning. It i","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 11585}",3,What type of memory stores information in an external vector store for later retrieval?,"long-term memory, vector store, retrieval","long-term memory, vector store, retrieval",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,True,1.0,Long-term memory stores information in an external vector store for later retrieval.
"[1, 2, 3, 4, 5]","[3, 4]",False,True,0.3333333333333333,2,"Self-Reflection#
Self-reflection is a vital aspect that allows autonomous agents to improve iteratively by refining past action decisions and correcting previous mistakes. It plays a crucial role in real-world tasks where trial and error ar","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 3549}",1,Which self-improvement framework turns feedback into verbal reinforcement for the next attempt?,"reflexion, verbal reinforcement, self-reflection","reflexion, verbal reinforcement, self-reflection",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,True,0.6666666666666666,The self-improvement framework that turns feedback into verbal reinforcement for the next attempt is called **Chain of Hindsight (CoH)**. It encourages the model to improve on its own outputs by presenting it with a sequence of past outputs
"[1, 2, 3, 4, 5]",[2],False,True,0.5,1,"Examples of reasoning trajectories for knowledge-intensive tasks (e.g. HotpotQA, FEVER) and decision-making tasks (e.g. AlfWorld Env, WebShop). (Image source: Yao et al. 2023).

In both experiments on knowledge-intensive tasks and decision-","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 4312}",1,Which tool-use pattern interleaves reasoning traces with actions?,"react, reasoning traces, actions","react, reasoning traces, actions",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,True,1.0,The tool-use pattern that interleaves reasoning traces with actions is called ReAct.
"[1, 2, 3, 4, 5]","[1, 2, 3]",True,True,1.0,3,"This benchmark evaluates the agent’s tool use capabilities at three levels:

Level-1 evaluates the ability to call the API. Given an API’s description, the model needs to determine whether to call a given API, call it correctly, and respond","{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 21547}",2,What benchmark is proposed to evaluate tool use with a large collection of APIs?,"apibank, benchmark, api","apibank, benchmark, api",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,True,0.6666666666666666,"The proposed benchmark to evaluate tool use with a large collection of APIs is called API-Bank. It assesses the functionality at three levels: 
1. Level-1 evaluates the ability to call the API correctly.
2. Level-2 examines the ability to r"
"[1, 2, 3, 4, 5]",[],False,False,0.0,0,Both TALM (Tool Augmented Language Models; Parisi et al. 2022) and Toolformer (Schick et al. 2023) fine-tune a LM to learn to use external tool APIs. The dataset is expanded based on whether a newly added API call annotation can improve the,"{'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/', 'start_index': 16535}",1,Which model is fine-tuned on API documentation to improve tool-use behavior?,"gorilla, api documentation, tool use","gorilla, api documentation, tool use",retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,False,0.3333333333333333,The model that is fine-tuned on API documentation to improve tool-use behavior is Toolformer (Schick et al. 2023).
